tempt,S\NP,Stimulus,,
threaten,S\NP,Stimulus,,
throw,S\NP,Stimulus,,
torture,S\NP,Stimulus,,
touch,S\NP,Stimulus,,
transport,S\NP,Stimulus,,
trouble,S\NP,Stimulus,,
try,S\NP,Stimulus,,
upset,S\NP,Stimulus,,
worry,S\NP,Stimulus,,
wow,S\NP,Stimulus,,
accumulate,S\NP,Theme,,
advance,S\NP,Theme,,
amass,S\NP,Theme,,
appear,S\NP,Theme,,
approach,S\NP,Theme,,
arise,S\NP,Theme,,
arrive,S\NP,Theme,,
assemble,S\NP,Theme,,
balloon,S\NP,Theme,,
bang,S\NP,Theme,,
beat,S\NP,Theme,,
begin,S\NP,Theme,,
bend,S\NP,Theme,,
berth,S\NP,Theme,,
blink,S\NP,Theme,,
blossom,S\NP,Theme,,
boom,S\NP,Theme,,
bounce,S\NP,Theme,,
bow,S\NP,Theme,,
bow,S\NP,Theme,,
break,S\NP,Theme,,
burn,S\NP,Theme,,
burn,S\NP,Theme,,
burst,S\NP,Theme,,
charge,S\NP,Theme,,
circulate,S\NP,Theme,,
clash,S\NP,Theme,,
click,S\NP,Theme,,
climb,S\NP,Theme,,
climb,S\NP,Theme,,
cling,S\NP,Theme,,
close,S\NP,Theme,,
coach,S\NP,Theme,,
collect,S\NP,Theme,,
come,S\NP,Theme,,
come,S\NP,Theme,,
commence,S\NP,Theme,,
continue,S\NP,Theme,,
continue,S\NP,Theme,,
convene,S\NP,Theme,,
converge,S\NP,Theme,,
couple,S\NP,Theme,,
crack,S\NP,Theme,,
crash,S\NP,Theme,,
crawl,S\NP,Theme,,
creep,S\NP,Theme,,
creep,S\NP,Theme,,
cry,S\NP,Theme,,
dance,S\NP,Theme,,
dance,S\NP,Theme,,
derive,S\NP,Theme,,
descend,S\NP,Theme,,
desert,S\NP,Theme,,
develop,S\NP,Theme,,
die,S\NP,Theme,,
differ,S\NP,Theme,,
dip,S\NP,Theme,,
dominate,S\NP,Theme,,
drift,S\NP,Theme,,
drift,S\NP,Theme,,
drop,S\NP,Theme,,
drop,S\NP,Theme,,
dwell,S\NP,Theme,,
echo,S\NP,Theme,,
emanate,S\NP,Theme,,
emerge,S\NP,Theme,,
emerge,S\NP,Theme,,
emigrate,S\NP,Theme,,
erupt,S\NP,Theme,,
evolve,S\NP,Theme,,
exist,S\NP,Theme,,
explode,S\NP,Theme,,
extend,S\NP,Theme,,
fall,S\NP,Theme,,
fall,S\NP,Theme,,
falter,S\NP,Theme,,
file,S\NP,Theme,,
flare,S\NP,Theme,,
flash,S\NP,Theme,,
float,S\NP,Theme,,
float,S\NP,Theme,,
flock,S\NP,Theme,,
flourish,S\NP,Theme,,
flow,S\NP,Theme,,
flow,S\NP,Theme,,
form,S\NP,Theme,,
gather,S\NP,Theme,,
go,S\NP,Theme,,
go,S\NP,Theme,,
go,S\NP,Theme,,
go,S\NP,Theme,,
grow,S\NP,Theme,,
halt,S\NP,Theme,,
hike,S\NP,Theme,,
hold,S\NP,Theme,,
hover,S\NP,Theme,,
hover,S\NP,Theme,,
issue,S\NP,Theme,,
knock,S\NP,Theme,,
land,S\NP,Theme,,
lean,S\NP,Theme,,
leave,S\NP,Theme,,
lie,S\NP,Theme,,
lift,S\NP,Theme,,
linger,S\NP,Theme,,
live,S\NP,Theme,,
lodge,S\NP,Theme,,
match,S\NP,Theme,,
materialize,S\NP,Theme,,
move,S\NP,Theme,,
move,S\NP,Theme,,
murmur,S\NP,Theme,,
open,S\NP,Theme,,
plunge,S\NP,Theme,,
plunge,S\NP,Theme,,
