model,filtered,trigger_type,condition,control,trigger_condition,presupposition_condition,accuracy,entailment,neutral,contradiction,n_examples
BERT,False,possessed_definites_uniqueness,test_interrogative_negated,False,interrogative,negated,0.11,0.03,0.86,0.11,100
BERT,False,possessed_definites_uniqueness,test_interrogative_neutral,False,interrogative,neutral,0.61,0,0.61,0.39,100
BERT,False,possessed_definites_uniqueness,test_modal_positive,False,modal,positive,0,0,0.99,0.01,100
BERT,False,possessed_definites_uniqueness,test_modal_negated,False,modal,negated,0.12,0.12,0.76,0.12,100
BERT,False,possessed_definites_uniqueness,test_modal_neutral,False,modal,neutral,0.73,0,0.73,0.27,100
BERT,False,possessed_definites_uniqueness,test_conditional_positive,False,conditional,positive,0,0,1,0,100
BERT,False,possessed_definites_uniqueness,test_conditional_negated,False,conditional,negated,0.04,0.11,0.85,0.04,100
BERT,False,possessed_definites_uniqueness,test_conditional_neutral,False,conditional,neutral,0.82,0,0.82,0.18,100
BERT,False,possessed_definites_uniqueness,control_negated,True,negated,,1,0,0,1,100
BERT,False,possessed_definites_uniqueness,control_modal,True,modal,,0.99,0.01,0.99,0,100
BERT,False,possessed_definites_uniqueness,control_interrogative,True,interrogative,,0.97,0.03,0.97,0,100
BERT,False,possessed_definites_uniqueness,control_conditional,True,conditional,,0.72,0.28,0.72,0,100
BERT,True,possessed_definites_uniqueness,test_unembedded_positive,False,unembedded,positive,0,0,0,0,0
BERT,True,possessed_definites_uniqueness,test_unembedded_negated,False,unembedded,negated,0,0,0,0,0
BERT,True,possessed_definites_uniqueness,test_unembedded_neutral,False,unembedded,neutral,0,0,0,0,0
